Pos,Quantity,2,1,0
DST,STD,-0.0450115652304,1.1476450068,-0.024223783761
DST,SKEW,0.0136541693652,-0.233296042006,1.6236479436
DST,PZ,-0.000429281652034,0.00117144350815,0.0553516568447
WR,STD,-0.00842030059824,0.619074547446,1.8159813774
WR,SKEW,1.08800594954e-05,-0.0380046648661,1.3612545263
WR,PZ,0.00178220345664,-0.061816682079,0.519949182744
QB,STD,0.0203521336093,-0.540549810802,10.7193925421
QB,SKEW,-0.00573154473851,0.227108215442,-1.87525493012
QB,PZ,0.000264486586175,-0.0107714586043,0.108626377506
RB,STD,-0.0327176766477,1.10980262176,-0.263658531334
RB,SKEW,0.000945942707322,-0.0634003784558,1.39224654715
RB,PZ,0.00172586619368,-0.0509691752488,0.370968168263
TE,STD,-0.0279468615377,1.04596734976,-0.77991060524
TE,SKEW,-0.00897632507395,0.165603709084,0.255075794465
TE,PZ,0.00412874794726,-0.115726395964,0.792415729246
