playername,points
Aaron Dobson,6.956867288
DeAngelo Williams,6.713727908
Nate Washington,7.122917237
Chris Polk,6.962686939
Josh Hill,7.532338867
Jerricho Cotchery,7.244255857
Chris Conley,7.221950657
Chris Givens,7.045258408
Alfred Blue,6.994254154
Tim Wright,6.876246155
Fred Jackson,6.781592463
Mike Tolbert,6.931357621
Miles Austin,7.285431554
Kyle Juszczyk,7.0154315
Lance Moore,6.724570896
Jeff Cumberland,7.022514225
Nick Boyle,7.101206113
Greg Jennings,6.452716597
Reggie Bush,6.542272797
Ahmad Bradshaw,6.994254154
Jordan Norwood,6.689200791
Marquise Goodwin,6.11510608
Jeremy Langford,5.865891049
Brandon Pettigrew,6.682687408
Jonas Gray,5.910739243
Philly Brown,6.66969493
Andre Roberts,6.050479558
Teddy Bridgewater,15.96
Ryan Fitzpatrick,15.42
Josh McCown,14.55
Brian Hoyer,15.02
Jaron Brown,4.9
