"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Martellus Bennett",4900,"Min@Chi 01:00PM ET",12.533,"Chi"
"RB","Frank Gore",4800,"Ind@Car 08:30PM ET",12.286,"Ind"
"TE","Antonio Gates",4800,"SD@Bal 01:00PM ET",24.350,"SD"
"RB","Giovani Bernard",4800,"Cin@Pit 01:00PM ET",14.600,"Cin"
"WR","Stefon Diggs",4800,"Min@Chi 01:00PM ET",21.433,"Min"
"TE","Gary Barnidge",4700,"Ari@Cle 01:00PM ET",17.629,"Cle"
"WR","Michael Crabtree",4700,"NYJ@Oak 04:05PM ET",14.350,"Oak"
"RB","Charcandrick West",4700,"Det@KC 09:30AM ET",5.071,"KC"
"RB","Chris Johnson",4600,"Ari@Cle 01:00PM ET",13.471,"Ari"
"RB","Ronnie Hillman",4600,"GB@Den 08:30PM ET",9.667,"Den"
"WR","Tavon Austin",4600,"SF@StL 01:00PM ET",13.450,"StL"
"RB","Danny Woodhead",4500,"SD@Bal 01:00PM ET",17.214,"SD"
"WR","Willie Snead",4500,"NYG@NO 01:00PM ET",11.871,"NO"
"WR","Anquan Boldin",4400,"SF@StL 01:00PM ET",12.314,"SF"
"RB","Carlos Hyde",4400,"SF@StL 01:00PM ET",12.043,"SF"
"WR","Victor Cruz",4300,"NYG@NO 01:00PM ET",0,"NYG"
"RB","James Starks",4300,"GB@Den 08:30PM ET",10.183,"GB"
"RB","Andre Ellington",4300,"Ari@Cle 01:00PM ET",10.300,"Ari"
"RB","Joseph Randle",4300,"Sea@Dal 04:25PM ET",12.350,"Dal"
"RB","C.J. Anderson",4300,"GB@Den 08:30PM ET",6.833,"Den"
"WR","Mike Wallace",4200,"Min@Chi 01:00PM ET",10.200,"Min"
"WR","Kamar Aiken",4200,"SD@Bal 01:00PM ET",8.157,"Bal"
"WR","Marvin Jones",4200,"Cin@Pit 01:00PM ET",12.500,"Cin"
"WR","Rueben Randle",4200,"NYG@NO 01:00PM ET",10.557,"NYG"
"WR","Breshad Perriman",4200,"SD@Bal 01:00PM ET",0,"Bal"
"RB","Duke Johnson Jr.",4200,"Ari@Cle 01:00PM ET",11.557,"Cle"
"TE","Delanie Walker",4100,"Ten@Hou 01:00PM ET",12.980,"Ten"
"RB","Jonathan Stewart",4100,"Ind@Car 08:30PM ET",11.050,"Car"
"WR","Torrey Smith",4100,"SF@StL 01:00PM ET",9.043,"SF"
"RB","Shane Vereen",4100,"NYG@NO 01:00PM ET",9.386,"NYG"
"WR","Terrance Williams",4100,"Sea@Dal 04:25PM ET",9.883,"Dal"
"DST","Cardinals",4000,"Ari@Cle 01:00PM ET",10.714,"Ari"
"WR","Andre Johnson",4000,"Ind@Car 08:30PM ET",7.529,"Ind"
"WR","Marquess Wilson",4000,"Min@Chi 01:00PM ET",8.633,"Chi"
"RB","Melvin Gordon",4000,"SD@Bal 01:00PM ET",7.343,"SD"
"WR","Roddy White",3900,"TB@Atl 01:00PM ET",5.514,"Atl"
"RB","Rashad Jennings",3900,"NYG@NO 01:00PM ET",9.200,"NYG"
"RB","Ameer Abdullah",3900,"Det@KC 09:30AM ET",8.214,"Det"
"WR","Davante Adams",3900,"GB@Den 08:30PM ET",6.067,"GB"
"RB","Darren McFadden",3800,"Sea@Dal 04:25PM ET",11.383,"Dal"
"DST","Seahawks",3700,"Sea@Dal 04:25PM ET",12.000,"Sea"
"WR","Nate Washington",3600,"Ten@Hou 01:00PM ET",14.740,"Hou"
"WR","Kenny Britt",3600,"SF@StL 01:00PM ET",7.233,"StL"
"WR","Leonard Hankerson",3600,"TB@Atl 01:00PM ET",9.443,"Atl"
