"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Matt Spaeth",2500,"Cin@Pit 01:00PM ET",0.000,"Pit"
"TE","Clark Harris",2500,"Cin@Pit 01:00PM ET",0.000,"Cin"
"TE","Anthony Fasano",2500,"Ten@Hou 01:00PM ET",5.500,"Ten"
"TE","Zach Miller",2500,"Min@Chi 01:00PM ET",1.083,"Chi"
"TE","Brandon Pettigrew",2500,"Det@KC 09:30AM ET",2.950,"Det"
"TE","Kellen Davis",2500,"NYJ@Oak 04:05PM ET",0.000,"NYJ"
"TE","Brandon Myers",2500,"TB@Atl 01:00PM ET",2.000,"TB"
"TE","Darren Fells",2500,"Ari@Cle 01:00PM ET",5.933,"Ari"
"TE","Tony Moeaki",2500,"TB@Atl 01:00PM ET",0.700,"Atl"
"TE","David Johnson",2500,"SD@Bal 01:00PM ET",0.029,"SD"
"TE","Ed Dickson",2500,"Ind@Car 08:30PM ET",3.217,"Car"
"TE","Garrett Graham",2500,"Ten@Hou 01:00PM ET",1.857,"Hou"
"TE","Andrew DePaola",2500,"TB@Atl 01:00PM ET",0.000,"TB"
"TE","Jim Dray",2500,"Ari@Cle 01:00PM ET",1.000,"Cle"
"TE","Virgil Green",2500,"GB@Den 08:30PM ET",2.133,"Den"
"TE","John Phillips",2500,"SD@Bal 01:00PM ET",2.300,"SD"
